Date,Description,Category,Cost,Currency,Gus,Joules
10/11/25,Haifa,General,14.8,EUR,7.4,-7.4
10/11/25,Bollitore,General,20.1,EUR,10.05,-10.05
10/11/25,Cinese,General,36.1,EUR,18.05,-18.05
10/13/25,Supermkt,General,7.4,EUR,3.7,-3.7
10/13/25,Halal,Groceries,13,EUR,6.5,-6.5
10/13/25,Verdure e frutta,General,16.3,EUR,8.15,-8.15
10/13/25,Mochi+ tea,Dining out,16.9,EUR,8.45,-8.45
10/16/25,Esselunga,General,51.55,EUR,25.78,-25.78
10/18/25,Caffe + timtams,General,18.2,EUR,9.1,-9.1
10/19/25,Carne+riso+uova haifa,Groceries,28.05,EUR,14.03,-14.03
10/21/25,Esselunga,General,49.17,EUR,24.59,-24.59
10/23/25,Refill ,General,40,EUR,20,-20
10/25/25,Spesa e cena,Groceries,100,EUR,-50,50
10/26/25,Carne,Groceries,11.4,EUR,5.7,-5.7
11/3/25,Esselunga+halal,Groceries,60.41,EUR,30.21,-30.21
11/5/25,Poke gus n joules,General,33.8,EUR,16.9,-16.9
11/6/25,Regalo Dani,Gifts,67.84,EUR,-33.92,33.92
11/7/25,Regalo Enri,Gifts,45.05,EUR,-45.05,45.05
11/7/25,Laurea,General,372,EUR,-186,186
11/7/25,Sushi,Dining out,46.9,EUR,-46.9,46.9
11/8/25,Carne,Groceries,27,EUR,-13.5,13.5
11/12/25,Festa J,General,73.8,EUR,73.8,-73.8
11/15/25,Drinks Gus n J,Liquor,17,EUR,8.5,-8.5
1/23/26,Ramen + mochi e Bubble tea,Dining out,52,EUR,-26,26
1/23/26,Decathlon ,Sports,20,EUR,-20,20
1/26/26,Ali e costine,General,34.53,EUR,17.26,-17.26
1/29/26,Halal,Groceries,22.35,EUR,11.17,-11.17
1/29/26,Bollette,General,200,EUR,100,-100
1/30/26,Treni,General,120,EUR,-60,60
1/31/26,Spese cibo,General,85,EUR,-42.5,42.5
2/1/26,Spesa Esselunga,Groceries,116.66,EUR,58.33,-58.33
2/2/26,Manzo halal,Groceries,29.15,EUR,14.57,-14.57
2/5/26,Uova,General,3,EUR,1.5,-1.5
2/6/26,Pizza,Dining out,52,EUR,-26,26
2/8/26,Pranzo Chinatown ,General,21,EUR,-10.5,10.5
2/11/26,Candela,General,24,EUR,-12,12
,,,,,,
2/12/26,Total balance, , ,EUR,-122.28,122.28
